r_out p_out y_out r_disturb p_disturb y_disturb y_ref p_ref r_ref time
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.252
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.261
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.271
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.281
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.291
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.301
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.311
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.321
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.331
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.341
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.351
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.361
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.371
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.381
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.391
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.401
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.411
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.421
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.431
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.441
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.451
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.460
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.471
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.481
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.491
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.501
0.00 0.04 0.04 0.00 -0.07 -0.02 0.00 0.04 0.04 15.511
0.00 0.04 0.04 -0.00 -0.07 -0.02 0.00 0.04 0.04 15.521
0.00 0.04 0.04 -0.00 -0.07 -0.02 0.00 0.04 0.04 15.531
0.00 0.04 0.04 -0.00 -0.07 -0.02 0.00 0.04 0.04 15.541
0.00 0.04 0.04 -0.00 -0.07 -0.02 0.00 0.04 0.04 15.551
0.00 0.04 0.04 -0.00 -0.07 -0.02 0.00 0.04 0.04 15.561
