r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
-0.04 -0.13 0.04 -0.01 0.09 -0.06 0.00 0.00 0.00 90.864
-0.03 -0.13 0.03 0.00 0.10 -0.06 0.00 0.00 0.00 90.888
-0.03 -0.12 0.03 -0.05 0.09 0.08 0.00 0.00 0.00 90.941
-0.03 -0.12 0.03 -0.11 0.09 0.08 0.00 0.00 0.00 90.955
-0.03 -0.11 0.03 -0.11 0.08 0.08 0.00 0.00 0.00 90.970
-0.03 -0.11 0.03 -0.14 0.07 0.08 0.00 0.00 0.00 91.003
-0.02 -0.09 0.01 -0.04 0.06 0.08 0.00 0.00 0.00 91.041
-0.02 -0.05 -0.01 -0.06 0.03 0.05 0.00 0.00 0.00 91.102
-0.02 -0.03 -0.01 0.05 0.01 0.04 0.00 0.00 0.00 91.135
-0.02 -0.02 -0.02 0.06 0.00 0.04 0.00 0.00 0.00 91.168
-0.02 -0.01 -0.03 0.02 -0.00 0.04 0.00 0.00 0.00 91.203
-0.03 -0.00 -0.03 -0.03 -0.00 0.04 0.00 0.00 0.00 91.235
-0.03 -0.00 -0.04 -0.06 -0.01 0.04 0.00 0.00 0.00 91.267
-0.03 0.00 -0.04 -0.09 -0.01 0.04 0.00 0.00 0.00 91.300
-0.03 0.01 -0.05 -0.09 -0.01 0.04 0.00 0.00 0.00 91.336
-0.03 0.02 -0.06 -0.11 -0.01 0.04 0.00 0.00 0.00 91.372
-0.03 0.03 -0.06 -0.05 -0.01 0.04 0.00 0.00 0.00 91.400
-0.03 0.04 -0.07 0.01 -0.02 0.04 0.00 0.00 0.00 91.437
-0.03 0.06 -0.09 0.03 -0.02 0.04 0.00 0.00 0.00 91.468
-0.04 0.07 -0.10 0.02 -0.02 0.04 0.00 0.00 0.00 91.500
-0.04 0.09 -0.11 0.01 -0.02 0.03 0.00 0.00 0.00 91.540
-0.04 0.10 -0.13 0.02 -0.02 0.03 0.00 0.00 0.00 91.567
-0.04 0.11 -0.14 0.03 -0.02 0.03 0.00 0.00 0.00 91.600
-0.03 0.12 -0.17 -0.01 -0.01 0.02 0.00 0.00 0.00 91.634
-0.03 0.13 -0.19 -0.04 -0.01 0.01 0.00 0.00 0.00 91.670
-0.01 0.13 -0.21 -0.01 -0.01 0.00 0.00 0.00 0.00 91.704
-0.01 0.12 -0.23 -0.02 0.00 -0.01 0.00 0.00 0.00 91.736
0.01 0.11 -0.24 -0.01 0.01 -0.01 0.00 0.00 0.00 91.772
0.02 0.10 -0.25 0.00 0.03 -0.02 0.00 0.00 0.00 91.802
0.02 0.08 -0.26 -0.01 0.04 -0.03 0.00 0.00 0.00 91.836
0.03 0.07 -0.27 -0.01 0.06 -0.02 0.00 0.00 0.00 91.870
0.03 0.04 -0.28 0.01 0.08 -0.02 0.00 0.00 0.00 91.904
0.04 0.02 -0.28 0.01 0.10 -0.02 0.00 0.00 0.00 91.933
0.04 -0.01 -0.26 0.10 0.11 -0.01 0.00 0.00 0.00 91.967
0.04 -0.05 -0.24 0.03 0.12 -0.00 0.00 0.00 0.00 92.003
0.03 -0.08 -0.23 0.04 0.12 0.00 0.00 0.00 0.00 92.036
0.03 -0.10 -0.21 0.00 0.12 0.30 0.30 0.00 0.00 92.068
0.02 -0.13 -0.18 0.01 0.11 0.31 0.30 0.00 0.00 92.101
0.01 -0.16 -0.17 0.05 0.10 0.32 0.30 0.00 0.00 92.134
-0.07 -0.18 -0.06 0.06 0.08 0.12 0.30 0.00 0.00 92.268
-0.09 -0.18 -0.04 0.02 0.08 0.12 0.30 0.00 0.00 92.301
-0.11 -0.18 -0.01 0.02 0.08 0.11 0.30 0.00 0.00 92.335
-0.14 -0.17 0.02 -0.04 0.07 0.10 0.30 0.00 0.00 92.369
-0.17 -0.16 0.04 -0.09 0.06 0.11 0.30 0.00 0.00 92.401
-0.19 -0.14 0.06 -0.04 0.05 0.10 0.30 0.00 0.00 92.434
-0.21 -0.11 0.08 -0.03 0.03 0.10 0.30 0.00 0.00 92.467
-0.24 -0.07 0.08 -0.03 0.01 0.11 0.30 0.00 0.00 92.508
-0.26 -0.04 0.08 -0.05 -0.02 0.10 0.30 0.00 0.00 92.540
-0.28 0.00 0.07 -0.01 -0.05 0.10 0.30 0.00 0.00 92.572
-0.29 0.03 0.05 -0.02 -0.07 0.09 0.30 0.00 0.00 92.604
-0.29 0.06 0.03 -0.06 -0.08 0.07 0.30 0.00 0.00 92.639
-0.30 0.09 -0.00 -0.05 -0.07 0.05 0.30 0.00 0.00 92.669
-0.30 0.12 -0.04 -0.01 -0.06 0.03 0.30 0.00 0.00 92.703
-0.30 0.13 -0.07 -0.01 -0.06 0.02 0.30 0.00 0.00 92.735
-0.30 0.15 -0.10 0.02 -0.04 0.01 0.30 0.00 0.00 92.768
-0.30 0.16 -0.13 -0.01 -0.04 -0.01 0.30 0.00 0.00 92.801
-0.29 0.16 -0.16 0.00 -0.02 -0.02 0.30 0.00 0.00 92.833
-0.28 0.15 -0.18 0.02 -0.01 -0.04 0.30 0.00 0.00 92.868
-0.27 0.15 -0.21 0.01 0.01 -0.07 0.30 0.00 0.00 92.899
