r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
0.12 -0.08 -0.02 0.01 0.03 -0.01 0.00 0.00 0.00 122.912
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 122.931
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 122.945
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 122.961
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 122.982
0.12 -0.08 -0.02 0.01 0.03 -0.01 0.00 0.00 0.00 123.000
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.015
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.030
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.045
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.058
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.086
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.125
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.155
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.187
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.219
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.252
0.12 -0.08 -0.02 0.04 0.02 -0.01 0.00 0.00 0.00 123.283
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.318
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.350
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.383
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.416
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.451
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.485
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.516
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.548
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.582
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.617
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.651
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.683
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.717
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.750
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.785
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.819
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.851
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.884
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.918
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 123.953
0.12 -0.08 -0.02 0.02 0.03 -0.01 0.00 0.00 0.00 123.989
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 124.016
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 124.050
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 124.081
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 124.116
0.12 -0.08 -0.02 0.03 0.03 -0.01 0.00 0.00 0.00 124.151
0.12 -0.08 -0.02 0.03 0.03 0.28 0.30 0.00 0.00 124.183
0.12 -0.08 -0.02 0.03 0.03 0.28 0.30 0.00 0.00 124.217
0.12 -0.08 -0.02 0.05 0.03 0.28 0.30 0.00 0.00 124.250
0.13 -0.07 -0.02 0.05 0.03 -0.02 0.30 0.00 0.00 124.348
0.14 -0.07 -0.02 0.03 0.03 -0.00 0.30 0.00 0.00 124.382
0.14 -0.07 -0.02 0.02 0.03 0.02 0.30 0.00 0.00 124.415
0.14 -0.07 -0.02 0.00 0.03 0.03 0.30 0.00 0.00 124.450
0.14 -0.07 -0.02 0.00 0.03 0.02 0.30 0.00 0.00 124.483
0.14 -0.07 -0.02 0.01 0.03 0.02 0.30 0.00 0.00 124.516
0.14 -0.07 -0.02 0.01 0.03 0.02 0.30 0.00 0.00 124.551
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 124.583
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.614
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 124.652
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 124.681
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.720
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.756
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.787
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.821
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.853
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.885
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 124.917
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.949
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 124.983
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.016
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.050
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.084
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.115
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.149
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.181
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.220
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.249
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.280
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 125.317
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.347
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.384
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.415
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.448
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.483
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.516
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.547
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.581
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.615
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.649
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.680
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.714
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.749
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.783
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.817
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.849
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.880
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 125.914
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.948
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 125.984
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.00 0.00 126.014
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.047
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.081
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.115
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.00 0.00 126.150
0.14 -0.07 -0.02 0.02 -0.20 0.02 0.30 0.30 0.00 126.183
0.14 -0.07 -0.02 0.02 -0.20 0.02 0.30 0.30 0.00 126.214
0.14 -0.07 -0.02 0.01 -0.20 0.02 0.30 0.30 0.00 126.247
0.14 -0.07 -0.02 -0.13 -0.09 0.02 0.30 0.30 0.00 126.281
0.14 -0.07 -0.02 -0.07 0.10 0.00 0.30 0.30 0.00 126.315
0.14 -0.07 -0.02 -0.03 0.10 0.00 0.30 0.30 0.00 126.347
0.14 -0.07 -0.02 -0.02 0.10 0.02 0.30 0.30 0.00 126.382
0.14 -0.07 -0.02 -0.03 0.04 0.03 0.30 0.30 0.00 126.415
0.14 -0.07 -0.02 -0.02 0.03 0.03 0.30 0.30 0.00 126.447
0.14 -0.07 -0.02 -0.01 0.03 0.02 0.30 0.30 0.00 126.483
0.14 -0.07 -0.02 0.02 0.03 0.02 0.30 0.30 0.00 126.514
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.547
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.581
0.14 -0.07 -0.02 0.03 0.03 0.02 0.30 0.30 0.00 126.614
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.649
0.14 -0.07 -0.02 0.03 0.02 0.02 0.30 0.30 0.00 126.682
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.713
0.14 -0.07 -0.02 0.02 0.02 0.02 0.30 0.30 0.00 126.753
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.783
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.815
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 126.847
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.881
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.914
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.948
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 126.981
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.014
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.047
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.080
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.114
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.149
0.14 -0.07 -0.02 -0.00 0.02 0.02 0.30 0.30 0.00 127.180
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.213
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.247
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.280
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.315
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.348
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.380
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.413
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.448
0.14 -0.07 -0.02 0.00 0.02 0.02 0.30 0.30 0.00 127.484
0.14 -0.07 -0.02 0.01 0.02 0.02 0.30 0.30 0.00 127.515
